'a'bi'ke'tang 阿比可糖
'ai'qian'qi'you 癌前期有
'ai'qiao'mu 矮乔木
'ai'rong'jie 癌溶解
'ai'rou'liu 癌肉瘤
'ai'sai'e'bi'ya'jie 埃塞俄比亚界
'ai'sheng'cheng 癌生成
'ai'shi'fu'shui'ai'xi'bao 艾氏腹水癌细胞
'ai'tai 矮态
'ai'xi'bao'yang'sheng'zhang 癌细胞样生长
'ai'xiao'fa'yu 矮小发育
'ai'xiao'zhe 矮小者
'ai'xue 癌学
'ai'yi'te'long 矮异特龙
'ai'zheng'zhuan'yi 癌症转移
'ai'zhuang'su 矮壮素
'ai'zi'bing 爱滋病
'ai'zi'bing'du 爱滋病毒
'an'bian'qing'mei'su 氨苄青霉素
'an'bian'qing'mei'su'kang'xing 氨苄青霉素抗性
'an'bian'qing'mei'su'kang'xing'xian'an'mei 氨苄青霉素抗性酰胺酶
'an'bian'qing'mei'su'min'gan 氨苄青霉素敏感
'an'bian'qing'mei'suo 氨苄青霉索
'an'bing'chun 氨丙醇
'an'bing'ji'zhuan'yi'mei 氨丙基转移酶
'an'bu 安瓿
'an'bu'ping'a'mei'su 安瓿瓶阿霉素
'an'cha'jian 氨茶碱
'an'chan'se'jun 暗产色菌
'an'dai 暗带
'an'fan'ying 暗反应
'an'fu'fa 按抚法
'an'fu'huo'zuo'yong 暗复活作用
'an'fu'ling 安福灵
'an'fu'mi 安氟醚
'an'gan'qi 暗感期
'an'ge 鞍膈
'an'ge'la'zi'tan'su 安哥拉紫檀素
'an'gu'shu 按骨术
'an'ha'tong'ding 安哈酮定
'an'he'jun'su 暗褐菌素
'an'he'se 暗褐色
'an'he'zuo'yong 氨合作用
'an'hua 胺化
'an'hua'fen'meng'fa'kong'de'shu'mu 按花粉萌发孔的数目
'an'hua'wu 氨化物
'an'hua'xi'jun 氨化细菌
'an'hua'zuo'yong 胺化作用
'an'hua'zuo'yong 氨化作用
'an'hui'mei'su 氨茴霉素
'an'hui'suan'lin'an'ji 氨茴酸邻氨基
'an'hui'xian'lin'an'ji 氨茴酰邻氨基
'an'ji 鞍基
'an'ji 氨基
'an'ji'ba'bi'tuo 氨基巴比妥
'an'ji'ban'ru'tang 氨基半乳糖
'an'ji'ban'ru'tang'gan 氨基半乳糖苷
'an'ji'ban'ru'tang'ji'zhuan'yi'mei 氨基半乳糖基转移酶
'an'ji'bao'hu'ji 氨基保护剂
'an'ji'ben'er'xian'jing 氨基苯二酰肼
'an'ji'ben'huang'xian'an 氨基苯磺酰胺
'an'ji'ben'ji'tang'gan 氨基苯基糖苷
'an'ji'ben'jia'suan 氨基苯甲酸
'an'ji'ben'jia'suan'bing'zhi 氨基苯甲酸丙酯
'an'ji'bing'er'xian'niao 氨基丙二酰脲
'an'ji'bing'suan 氨基丙酸
'an'ji'bing'wan 氨基丙烷
'an'ji'bing'xi'suan 氨基丙烯酸
'an'ji'chun'lei 氨基醇类
'an'ji'dan'an'xian'ji 氨基氮氨酰基
'an'ji'die'ling 氨基蝶呤
'an'ji'ding'suan 氨基丁酸
'an'ji'duan 氨基端
'an'ji'er'suo'suan 氨基二羧酸
'an'ji'gan'lu'tang 氨基甘露糖
'an'ji'gua 氨基胍
'an'ji'hua 氨基化
'an'ji'huan'bing'wan'suo'suan 氨基环丙烷羧酸
'an'ji'hui'xiang'mi 氨基茴香醚
'an'ji'ji'er'suan'ban'quan 氨基己二酸半醛
'an'ji'ji'tang 氨基己糖
'an'ji'ji'tang'gan 氨基己糖苷
'an'ji'ji'tang'gan'mei 氨基己糖苷酶
'an'ji'jia'suan 氨基甲酸
'an'ji'jia'suan'ji'mei 氨基甲酸激酶
'an'ji'jia'suan'zhi 氨基甲酸酯
'an'ji'jia'wan 氨基甲烷
'an'ji'jia'wan'huan'chong'ye 氨基甲烷缓冲液
'an'ji'lian'jie'bi 氨基连接臂
'an'ji'lin'suan'mei 氨基磷酸酶
'an'ji'liu'qing'bi'ding'suo'suan 氨基六氢吡啶羧酸
'an'ji'mi'ding'bing'an'suan 氨基嘧啶丙氨酸
'an'ji'mi'zuo 氨基咪唑
'an'ji'mi'zuo'he'gan'suan 氨基咪唑核苷酸
'an'ji'mo'duan 氨基末端
'an'ji'niao 氨基脲
'an'ji'ou'dan'ben 氨基偶氮苯
'an'ji'piao'ling 氨基嘌呤
'an'ji'pu'tang 氨基葡糖
'an'ji'pu'tang'gan 氨基葡糖苷
'an'ji'pu'tang'gan'mei 氨基葡糖苷酶
'an'ji'pu'tao'tang 氨基葡萄糖
'an'ji'qing'mei'wan'suan 氨基青酶烷酸
'an'ji'qing'mei'wan'suan 氨基青霉烷酸
'an'ji'san'huan'gui'wan 氨基三环癸烷
'an'ji'san'zuo 氨基三唑
'an'ji'suan'bi 氨基酸臂
'an'ji'suan'can'ji 氨基酸残基
'an'ji'suan'can'ji'jie'chu'mian 氨基酸残基接触面
'an'ji'suan'ce'lian 氨基酸侧链
'an'ji'suan'dai'xie 氨基酸代谢
'an'ji'suan'dai'xie'bing 氨基酸代谢病
'an'ji'suan'de'huo'hua'zhi 氨基酸的活化酯
'an'ji'suan'fen'xi'qi 氨基酸分析器
'an'ji'suan'fen'xi'yi 氨基酸分析仪
'an'ji'suan'hun'he'wu 氨基酸混合物
'an'ji'suan'huo'hua'zuo'yong 氨基酸活化作用
'an'ji'suan'jie'he'bu'wei 氨基酸结合部位
'an'ji'suan'niao 氨基酸尿
'an'ji'suan'pian'ai'xing 氨基酸偏爱性
'an'ji'suan'pin'lv 氨基酸频率
'an'ji'suan'shi'yong 氨基酸使用
'an'ji'suan'shi'yong'pin'lv 氨基酸使用频率
'an'ji'suan'tuo'jia'ji'mei 氨基酸脱甲基酶
'an'ji'suan'tuo'suo'mei 氨基酸脱羧酶
'an'ji'suan'xiao'xuan'mei 氨基酸消旋酶
'an'ji'suan'xiu'shi 氨基酸修饰
'an'ji'suan'xu'lie 氨基酸序列
'an'ji'suan'xue 氨基酸血
'an'ji'suan'yang'hua'mei 氨基酸氧化酶
'an'ji'suan'yi'xian'zhuan'yi'mei 氨基酸乙酰转移酶
'an'ji'suan'zhuan'yi'xian'mei 氨基酸转乙酰酶
'an'ji'suan'zhuan'yun 氨基酸转运
'an'ji'suan'zhuan'yun'dan'bai 氨基酸转运蛋白
'an'ji'suan'zu'cheng 氨基酸组成
'an'ji'suan'zu'cheng'fen'xi'yi 氨基酸组成分析仪
'an'ji'tang 氨基糖
'an'ji'tang'gan 氨基糖苷
'an'ji'tang'gan'lei'kang'sheng'su 氨基糖苷类抗生素
'an'ji'tang'gan'lin'suan'zhuan'yi'mei 氨基糖苷磷酸转移酶
'an'ji'tong 氨基酮
'an'ji'tou'bao'jun'suan 氨基头孢菌酸
'an'ji'wan'ji'tang'gan 氨基烷基糖苷
'an'ji'wu'er'suan 氨基戊二酸
'an'ji'wu'xian'an 氨基戊酰胺
'an'ji'xian 氨基酰
'an'ji'yi'chun 氨基乙醇
'an'ji'yi'er'suan'tu'jing 氨基已二酸途径
'an'ji'yi'huang'suan 氨基乙磺酸
'an'ji'yi'suan'an 氨基乙酸铵
'an'ji'yi'tang'gan 氨基已糖苷
'an'ji'yi'xian'bing'suan 氨基乙酰丙酸
'an'ji'yi'zhuan'mei 氨基移转酶
'an'ji'zhuan'yi'mei 氨基转移酶
'an'jia'die'ling 氨甲蝶呤
'an'jia'die'ling 氨甲蝶岭
'an'jia'die'ling'you'jun'su 氨甲蝶呤友菌素
'an'jia'ji'bi'luo 氨甲基吡咯
'an'jia'ji'qiang'yi'e'zuo 氨甲基羟异恶唑
'an'jia'suan'ji'mei 氨甲酸激酶
'an'jia'xian 氨甲酰
'an'jia'xian'bing'an'suan 氨甲酰丙氨酸
'an'jia'xian'dan'bai 氨甲酰蛋白
'an'jia'xian'dan'jian 氨甲酰胆碱
'an'jia'xian'gu'an'suan 氨甲酰谷氨酸
'an'jia'xian'hua 氨甲酰化
'an'jia'xian'ji 氨甲酰基
'an'jia'xian'ji'mi'zuo'he'gan'suan 氨甲酰基咪唑核苷酸
'an'jia'xian'ji'zhuan'yi'mei 氨甲酰基转移酶
'an'jia'xian'lin'suan 氨甲酰磷酸
'an'jia'xian'lin'suan'he'cheng'mei 氨甲酰磷酸合成酶
'an'jia'xian'mi'zuo 氨甲酰咪唑
'an'jia'xian'niao'an'suan 氨甲酰鸟氨酸
'an'jia'xian'niu'huang'mei 氨甲酰牛磺酶
'an'jia'xian'niu'huang'suan 氨甲酰牛磺酸
'an'jia'xian'tian'dong'an'suan 氨甲酰天冬氨酸
'an'jia'xian'tian'dong'an'suan'tuo'shui'mei 氨甲酰天冬氨酸脱水酶
'an'jia'xian'xue'hong'dan'bai 氨甲酰血红蛋白
'an'jian'xi 暗间隙
'an'jie'jie'nao'mo'liu 鞍结节脑膜瘤
'an'jie'zuo'yong 氨解作用
'an'mi'tuo 安米妥
'an'ming'tu'an 暗明图案
'an'ni'su'jian 安尼素碱
'an'qian'ti'she'qu 胺前体摄取
'an'qu'zu'zhi 鞍区阻滞
'an'quan'dai'shang 安全带伤
'an'quan'mian'qie'pan 安全面切盘
'an'quan'yi'ye'guan 安全移液管
'an'quan'yin'shu 安全因数
'an'se'he'jun 暗色核菌
'an'se'si'bao'mei'bing 暗色丝孢霉病
'an'se'wu'ge'bao'zi 暗色无隔孢子
'an'shang'nao'mo'liu 鞍上脑膜瘤
'an'shi'chang'xian'wei'jing 暗视场显微镜
'an'shi'dan'bai 暗视蛋白
'an'shi'ji 暗视计
'an'shi'jue 暗视觉
'an'shi'ye 暗视野
'an'shi'ye'dian'zi'xian'wei'shu 暗视野电子显微术
'an'shi'ye'xian'wei'shu 暗视野显微术
'an'shi'ying 暗适应
'an'shu'nao 桉树脑
'an'shui'shao'shang 氨水烧伤
'an'si'jun'su 安丝菌素
'an'suan 氨酸
'an'suan'bing'tong'suan'zhuan'an'mei 氨酸丙酮酸转氨酶
'an'suo'luo'he'ji 氨羧络合剂
'an'tai'mei 氨肽酶
'an'tai'mei'an'cha'jian 氨肽酶氨茶碱
'an'tai'tong 安泰酮
'an'ti'bi'lin 安替比林
'an'wan'ji'ya'lin'xian'an 氨烷基亚磷酰胺
'an'wan'ji'yin'duo 氨烷基吲哚
'an'wei'you'dao 安慰诱导
'an'xi'xiang'jiao 安息香胶
'an'xi'xiang'suan 安息香酸
'an'xian 氨酰
'an'xian'an'xian'hua 氨酰氨酰化
'an'xian'dan'jian 氨酰胆碱
'an'xian'ji 氨酰基
'an'xian'ji'bu'wei 氨酰基部位
'an'xian'ji'fu'an'suan'er'tai'mei 氨酰基脯氨酸二肽酶
'an'xian'ji'he'cheng'mei 氨酰基合成酶
'an'xian'ji'wei 氨酰基位
'an'xian'ji'xian'gan'suan'mei 氨酰基腺苷酸酶
'an'xian'jing 氨酰肼
'an'xian'lai'an'suan'er'tai'mei 氨酰赖氨酸二肽酶
'an'xian'lin'zhi'xian'gan'you 氨酰磷脂酰甘油
'an'xian'xian'gan'suan 氨酰腺苷酸
'an'xian'zhi'mei 氨酰酯酶
'an'xian'zhuan'yi 氨酰转移
'an'xian'zu'an'suan'er'tai'mei 氨酰组氨酸二肽酶
'an'xing 暗型
'an'xiu'fu 暗修复
'an'yang'hua'mei 胺氧化酶
'an'yi'ji 氨乙基
'an'yi'ji'ban'guang'an'suan 氨乙基半胱氨酸
'an'yi'ji'liu'chun 氨乙基硫醇
'an'yi'ji'liu'chun'qiu'ji 氨乙基硫醇巯基
'an'yi'ji'ya'huang'suan 氨乙基亚磺酸
'an'zhuang'ke 鞍状壳
'ang'bing'du'dan'bai 肮病毒蛋白
'ao'bo'pian 凹玻片
'ao'bo'shi'yan 奥伯试验
'ao'ci 螯刺
'ao'da'li'ya'kang'yuan 澳大利亚抗原
'ao'di'kuo'yue'ji'cheng'xing'shu 奥迪括约肌成形术
'ao'di'kuo'yue'ji'qie'kai'shu 奥迪括约肌切开术
'ao'di'kuo'yue'ji'xia'zhai 奥迪括约肌狭窄
'ao'e'ba'he'shi'shen'jing'cong 奥厄巴赫氏神经丛
'ao'er'bu'lai'te'zong'he'zheng 奥尔布赖特综合征
'ao'er'de'li'qi'zong'he'zheng 奥尔德里奇综合征
'ao'fu'er'shi'nian'du'ji 奥福二氏粘度计
'ao'he 螯合
'ao'he'di'ding 螯合滴定
'ao'he'fu'he'ti 螯合复合体
'ao'he'huan 螯合环
'ao'he'ji 螯合剂
'ao'he'mei 螯合酶
'ao'he'wu 螯合物
'ao'he'zuo'yong 螯合作用
'ao'jiao 螯角
'ao'qiao 螯鞘
'ao'ru 凹入
'ao'si'pi'ci'zheng 奥斯皮茨征
'ao'xia 螯虾
'ao'xia'ban 螯下板
'ao'xian'ban'hen 凹陷瘢痕
'ao'xian'kou 凹陷口
'ao'zhi 螯肢
'ao'zhou'qie'bian'jian 澳洲茄边碱
'ao'zhou'qie'jian 澳洲茄碱
'ao'zhou'wa'pi'tai 澳洲蛙皮肽
'ao'zu 螯足
'ba'bao'xing'zi'nang'bao'zi 八孢型子囊孢子
'ba'bei'ti 八倍体
'ba'bei'xing 八倍性
'ba'bi'tuo 巴比妥
'ba'bi'tuo'de'shang'pin'ming 巴比妥的商品名
'ba'bi'tuo'lei'jing'mai'ma'zui'yao 巴比妥类静脉麻醉药
'ba'bi'tuo'na 巴比妥钠
'ba'bi'tuo'suan 巴比妥酸
'ba'bi'tuo'suan'yan 巴比妥酸盐
'ba'biao'shi'bie 靶标识别
'ba'diao'er'qing'qing'fang'jin'shui'li 把钓铒轻轻放进水里
'ba'die'qiu'jun 八叠球菌
'ba'dou'du'dan'bai 巴豆毒蛋白
'ba'dou'du'su 巴豆毒素
'ba'dou'suan 巴豆酸
'ba'dou'suan'mei 巴豆酸酶
'ba'dou'xian 巴豆酰
'ba'dou'xian'fu'mei 巴豆酰辅酶
'ba'duo'lin'shi'guan 巴多林氏管
'ba'en 靶恩
'ba'er'bi'ni'shi'huan 巴尔比尼氏环
'ba'er'bi'ya'ni'huan 巴尔比亚尼环
'ba'er'bi'ya'ni'ran'se'ti 巴尔比亚尼染色体
'ba'er'de 巴尔得
'ba'er'shi'bing'du 巴二氏病毒
'ba'er'shi'xiao'ti 巴尔氏小体
'ba'er'tong'ti'bing 巴尔通体病
'ba'er'xiao'ti 巴尔小体
'ba'fang'shan'hu'ya'gang 八放珊瑚亚纲
'ba'fen'ti 八分体
'ba'ji'yin 巴基因
'ba'jia'ji'jiao'lin'xian'an 八甲基焦磷酰胺
'ba'jiao'yu 八角鱼
'ba'ju'ti'zu'dan'bai 八聚体组蛋白
'ba'lan'si'zheng 巴兰斯征
'ba'lei'te'shi'guan 巴雷特食管
'ba'li'jiao'mu 巴黎酵母
'ba'li'lun 靶理论
'ba'li'zi 巴黎紫
'ba'long'mei'su 巴龙霉素
'ba'luo'zong'he'zheng 巴洛综合征
'ba'mao'kuang 拔毛狂
'ba'mao'shi'yan 拔毛试验
'ba'mu'man'lei'yu 八目鳗类鱼
'ba'po'jian 巴婆碱
'ba'qi'guan 靶器官
'ba'qing'ci'zai'tong 八氢雌甾酮
'ba'qing'fan'qie'hong'su 八氢番茄红素
'ba'shi'mie'jun'fa 巴氏灭菌法
'ba'shi'mie'jun'qi 巴氏灭菌器
'ba'shi'tai'er'shui'zhong'zong'he'zheng 巴氏胎儿水肿综合征
'ba'shi'xiao'du'fa 巴氏消毒法
'ba'shi'xiao'du'qi 巴氏消毒器
'ba'shi'xiao'ti 巴氏小体
'ba'si'de'mie'jun'fa 巴斯德灭菌法
'ba'si'de'xiao'du 巴斯德消毒
'ba'si'de'xiao'ying 巴斯德效应
'ba'si'shua'ya'fa 巴斯刷牙法
'ba'sui'zhen 拔髓针
'ba'ta'suan 巴他酸
'ba'te'er'zheng 巴特尔征
'ba'wan'lei'ruan'ti'dong'wu 八腕类软体动物
'ba'wei'dian 靶位点
'ba'xi'bao 靶细胞
'ba'xi'fu'qiu'bao'zi'jun 巴西副球孢子菌
'ba'xi'guo'dan'bai 巴西果蛋白
'ba'xi'ni'shan'xiu'bu'shu 巴西尼疝修补术
'ba'xi'nuo'ka'jun 巴西诺卡菌
'ba'xi'tian'pao'chuang 巴西天疱疮
'ba'xian'hua'gen 八仙花根
'ba'xian'zhou 靶腺轴
'ba'xiong'rui'zhi'wu 八雄蕊植物
'ba'xu'lie 靶序列
'ba'xue'shuo 靶学说
'ba'ya'hou'bing'fa'zheng 拔牙后并发症
'ba'ya'qian 拔牙钳
'ba'ya'xue 拔牙学
'ba'zi'da'xiao 靶子大小
'ba'zu'zhi 靶组织
'ba'zu'zhi'fan'ying 靶组织反应
'bai'an'suan 白氨酸
'bai'ban'bing 白斑病
'bai'bu'ci'jian 百步次碱
'bai'dan'bai 白蛋白
'bai'di'mei 白地霉
'bai'dong'fu'zhong'xiang 摆动负重相
'bai'dong'jia'shuo 摆动假说
'bai'dong'pei'dui 摆动配对
'bai'fa'tu'bian 白发突变
'bai'fang'xian'jun'su 白放线菌素
'bai'fei 白痱
'bai'fen'jun 白粉菌
'bai'fen'jun'ke 白粉菌科
'bai'fen'wei'shu 百分位数
'bai'fen'wei'shu'zhi 百分位数值
'bai'gui'jing'dan'bai 白鲑精蛋白
'bai'hou'du'su 白喉毒素
'bai'hou'lei'du'su 白喉类毒素
'bai'hua'bing'ren 白化病人
'bai'hua'bu'ren'xing 白花不稔性
'bai'hua'ti 白化体
'bai'hua'xian'xiang 白化现象
'bai'hua'yu'shang'zu'zhi 白化愈伤组织
'bai'hua'zhi'wu 白化植物
'bai'jia'bing 白痂病
'bai'jian'mu'chun 白坚木醇
'bai'jiang'bing 白僵病
'bai'jiang'jun 白僵菌
'bai'jie'zi'gan 白芥子苷
'bai'jie'zi'jian 白芥子碱
'bai'jie'zi'liu'gan 白芥子硫苷
'bai'jun'su 败菌素
'bai'lan'hua'jian 白兰花碱
'bai'li'fen'lan 百里酚蓝
'bai'li'xiang'fen 百里香酚
'bai'li'xiang'kun 百里香醌
'bai'li'xiang'su 百里香素
'bai'ling 白蛉
'bai'ling'ding'yao 白蛉叮咬
'bai'luan'huang 白卵黄
'bai'mao'gen'jian 白毛茛碱
'bai'mao'she 白毛舌
'bai'ming'jiao 白明胶
'bai'ming'jiao'mei 白明胶酶
'bai'ming'jiao'shi 白明胶示
'bai'nian'zhu'jun 白念珠菌
'bai'qian'ceng'tie 白千层萜
'bai'qu'cai'huang'jian 白屈菜黄碱
'bai'qu'cai'jian 白屈菜碱
'bai'qu'cai'yu'hong'jian 白屈菜玉红碱
'bai'qu'jun'su 白曲菌素
'bai'sai'zong'he'zheng 白塞综合征
'bai'se'hai'mian'zhuang'ban'zhi 白色海绵状斑痣
'bai'se'kang'zhen 白色糠疹
'bai'se'mao'jie'jie'jun'bing 白色毛结节菌病
'bai'se'pi'pian 白色皮片
'bai'se'pi'pian'pai'chi 白色皮片排斥
'bai'se'pi'pian'que'xue 白色皮片缺血
'bai'se'rong'jiao 白色溶胶
'bai'se'shui'zhong 白色水肿
'bai'se'su'xi'bao 白色素细胞
'bai'se'ti 白色体
'bai'se'wei'suo 白色萎缩
'bai'se'xue'shuan 白色血栓
'bai'se'zhi'ti 白色质体
'bai'shi'qi'guan 柏氏器官
'bai'shui'mu'su 白水母素
'bai'sui 白髓
'bai'tao'tu'bu'fen'ning'xue'mei'yuan'shi'jian 白陶土部分凝血酶原时间
'bai'wan'dian'zi'fu'te 百万电子伏特
'bai'wang'zhuang'zhi 白网状质
'bai'xi'bao'dan'bai'mei 白细胞蛋白酶
'bai'xi'bao'gan'rao'su 白细胞干扰素
'bai'xi'bao'ge'li 白细胞隔离
'bai'xi'bao'gong'neng'xiang'guan'kang'yuan 白细胞功能相关抗原
'bai'xi'bao'gong'tong'kang'yuan 白细胞共同抗原
'bai'xi'bao'he'xue'xiao'ban'de'zong'cheng 白细胞和血小板的总称
'bai'xi'bao'ji'mei 白细胞激酶
'bai'xi'bao'ji'tai 白细胞激肽
'bai'xi'bao'jian'shao 白细胞减少
'bai'xi'bao'jian'shao'zheng 白细胞减少症
'bai'xi'bao'jie'su 白细胞介素
'bai'xi'bao'jie'su'shou'ti 白细胞介素受体
'bai'xi'bao'jie'ti 白细胞解体
'bai'xi'bao'jie'ti'zuo'yong 白细胞解体作用
'bai'xi'bao'ju'ji'ti 白细胞聚集体
'bai'xi'bao'kang'yuan 白细胞抗原
'bai'xi'bao'kang'yuan'pei'xing 白细胞抗原配型
'bai'xi'bao'kang'yuan'xiang'tong'tong'bao 白细胞抗原相同同胞
'bai'xi'bao'liu 白细胞瘤
'bai'xi'bao'nian'zhe'fan'ying 白细胞粘着反应
'bai'xi'bao'niao 白细胞尿
'bai'xi'bao'ning'ji'su 白细胞凝集素
'bai'xi'bao'ning'ji'zuo'yong 白细胞凝集作用
'bai'xi'bao'ning'xue'mei 白细胞凝血酶
'bai'xi'bao'rong'jie 白细胞溶解
'bai'xi'bao'rong'su 白细胞溶素
'bai'xi'bao'san'xi 白细胞三烯
'bai'xi'bao'sha'jun'su 白细胞杀菌素
'bai'xi'bao'sheng'cheng 白细胞生成
'bai'xi'bao'su 白细胞素
'bai'xi'bao'tiao'jie'su 白细胞调节素
'bai'xi'bao'xing'cheng 白细胞形成
'bai'xi'bao'xue'guan'shou'suo'su 白细胞血管收缩素
'bai'xi'bao'yi'dong'yi'zhi'yin'zi 白细胞移动抑制因子
'bai'xi'bao'yi'zhi'yin'zi 白细胞抑制因子
'bai'xi'bao'you'su 白细胞诱素
'bai'xi'bao'zeng'duo 白细胞增多
'bai'xi'bao'zeng'duo'zheng 白细胞增多症
'bai'xi'bao'zu'zhi'zeng'sheng 白细胞组织增生
'bai'xian'shan 白线疝
'bai'xian'wei 白纤维
'bai'xian'wei'zu'zhi 白纤维组织
'bai'xie'xi'bao 白血细胞
'bai'xiu'bing 白锈病
'bai'xuan 白癣
'bai'xue'bing'bing'du 白血病病毒
'bai'xue'zheng'xing 败血症型
'bai'ye'xiang'se'pu'fa 白液相色谱法
'bai'yi'chao 白蚁巢
'bai'yi'he'yi 白蚁和蚁
'bai'yi'ke 白蚁科
'bai'yi'wo'sheng'de'san'jun 白蚁窝生的伞菌
'bai'ying'guo'hong'su 白英果红素
'bai'yu 败育
'bai'yu'hua'fen 败育花粉
'bai'yu'luan 败育卵
'bai'yu'zhong'zi 败育种子
'bai'zhi 白质
'bai'zhu'mu'gan 白珠木苷
'ban'bao 伴孢
'ban'bao'jing'ti 伴胞晶体
'ban'bao'liu 半保留
'ban'bao'liu'fu'zhi 半保留复制
'ban'bao'lu'liao'fa 半暴露疗法
'ban'bei'guo'xing 半被果型
'ban'bi'shi'zhuang'zhi 半闭式装置
